snapshot_date,ticker,Company Name,Industry,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-06-09,WELSPUNLIV.NS,Welspun Living Limited,Textile Manufacturing,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-08,1,213.202,near_pivot,weekly_near_pivot,high_conviction_near_pivot,79.76,29.16,16.46,0.79,0.93,0.62,True,True,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-09,ARVIND.NS,Arvind Limited,Textile Manufacturing,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-08,4,121.238,watchlist,weekly_breakout,watchlist,73.69,57.06,61.44,0.81,0.2,0.75,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-09,ADANIGREEN.NS,Adani Green Energy Limited,Utilities - Renewable,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-08,2,115.488,watchlist,weekly_breakout,watchlist,77.44,85.81,61.5,0.84,1.08,0.97,True,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-06-09,TDPOWERSYS.NS,TD Power Systems Limited,Specialty Industrial Machinery,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-08,23,113.934,watchlist,weekly_breakout,watchlist,60.92,51.76,87.41,0.8,0.62,0.7,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-09,SYRMA.NS,Syrma SGS Technology Limited,Electronic Components,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-08,26,113.044,watchlist,weekly_breakout,watchlist,60.22,78.53,79.81,0.81,0.78,0.88,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-09,CUMMINSIND.NS,Cummins India Limited,Specialty Industrial Machinery,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-08,3,112.758,watchlist,weekly_breakout,watchlist,75.04,26.07,37.17,1.12,1.01,0.82,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-06-09,STLTECH.NS,Sterlite Technologies Limited,Communication Equipment,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-08,20,107.874,watchlist,weekly_breakout,watchlist,61.87,257.97,530.16,0.63,0.77,0.96,True,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-06-09,LAURUSLABS.NS,Laurus Labs Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-08,11,106.866,forming_vcp,weekly_breakout,watchlist,65.58,45.8,49.67,0.83,0.79,0.93,True,False,"Stage 2, Extended Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-06-09,ADANIPOWER.NS,Adani Power Limited,Utilities,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-08,30,105.926,watchlist,weekly_near_pivot,watchlist,59.63,68.71,68.0,0.76,0.62,0.56,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-09,RPTECH.NS,Rashi Peripherals Limited,Technology,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-08,5,105.922,watchlist,weekly_near_pivot,watchlist,73.36,63.2,80.76,0.9,0.51,0.84,False,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-06-09,AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-08,9,105.486,watchlist,weekly_near_pivot,watchlist,66.18,21.73,40.99,0.71,1.66,1.01,True,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-06-09,ELGIEQUIP.NS,Elgi Equipments Limited,Specialty Industrial Machinery,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-08,6,104.078,watchlist,weekly_breakout,watchlist,70.39,25.91,31.46,2.2,0.42,1.39,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-09,WELCORP.NS,Welspun Corp Limited,Steel,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-08,29,103.234,watchlist,weekly_breakout,watchlist,59.92,87.14,81.49,0.9,0.77,0.87,False,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-06-09,AIAENG.NS,AIA Engineering Limited,Specialty Industrial Machinery,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-08,8,102.932,watchlist,weekly_breakout,watchlist,67.16,28.32,25.96,2.64,0.87,1.32,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-09,ROSSTECH.NS,Rossell Techsys Limited,Aerospace & Defense,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-08,14,101.866,watchlist,weekly_near_pivot,watchlist,64.33,56.65,57.17,0.9,0.5,0.57,False,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-06-09,SOUTHBANK.NS,The South Indian Bank Limited,Banks - Regional,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-08,12,101.504,watchlist,weekly_breakout,watchlist,65.02,24.65,25.9,1.2,2.0,1.86,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
